ServiceApprovalNumber,ServiceName,ProviderLegalName,ServiceType,Suburb,State,Postcode,longitude,latitude,coordinate_valid,OverallRating,rating_group,NumberOfApprovedPlaces,DistanceToBusStation_km,DistanceToTrainStation_km,nearest_transport_distance_km,transport_distance_invalid,transport_distance_review,annual_weekly_operating_hours,annual_hours_valid,term_weekly_operating_hours_unadjusted,term_weekly_operating_hours,term_hours_overlap_adjusted,holiday_weekly_operating_hours,weekly_operating_hours,operating_hours_basis,detailed_offering_count,detailed_offering_combination,remoteness_code,remoteness_area,remoteness_broad_group,boundary_state_name,boundary_state_abbr,remoteness_match_status,state_boundary_consistent,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other
SE-40028831,Eden Academy Pacific Pines,SCGG Operations Pty Ltd as Trustee for SCGG Operations Unit Trust,Centre-Based Care,PACIFIC PINES,QLD,4211,153.318330,-27.940688,True,,No current rating,112.000000,12.738716,2.633369,2.633369,False,False,60.000000,True,,,False,,60.000000,Annual,1.000000,Long Day Care,30,Major Cities of Australia,Major Cities,Queensland,QLD,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028835,Scallywaggs Skoolz OSHC Warragamba,JMZ Enterprises Pty Ltd,Centre-Based Care,WARRAGAMBA,NSW,2752,150.605201,-33.890844,True,,No current rating,90.000000,42.893055,13.486820,13.486820,False,False,,False,25.000000,25.000000,False,57.500000,25.000000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,11,Inner Regional Australia,Regional Australia,New South Wales,NSW,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028840,Camp Australia - Clifton Hills Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,KELMSCOTT,WA,6111,116.020757,-32.109477,True,,No current rating,60.000000,11.703992,0.820226,0.820226,False,False,,False,27.916667,27.916667,False,58.750000,27.916667,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028844,MindChamps Early Learning Melton,ABC EARLY EDUCATION PTY LTD ATF Cousins Family Trust,Centre-Based Care,MELTON,VIC,3337,144.576058,-37.688754,True,,No current rating,106.000000,3.661711,1.658004,1.658004,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028850,Little Moppets Early Education and Care Centre,Moppets Pty Ltd ATF Lil Moppets Unit Trust,Centre-Based Care,CANNINGTON,WA,6107,115.936670,-32.015660,True,,No current rating,78.000000,1.429991,0.819726,0.819726,False,False,55.000000,True,110.000000,55.000000,True,55.000000,55.000000,Annual,1.000000,Long Day Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028866,Little Friends Early Learning Granville,Little Friends Early Learning Granville Pty Ltd,Centre-Based Care,GRANVILLE,NSW,2142,151.013384,-33.832444,True,,No current rating,80.000000,8.499501,0.115865,0.115865,False,False,55.000000,True,,,False,,55.000000,Annual,1.000000,Long Day Care,10,Major Cities of Australia,Major Cities,New South Wales,NSW,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028874,A1 Fun JTC MET,A1 Fun Pty Ltd,Centre-Based Care,GREENFIELDS,WA,6210,115.755236,-32.515517,True,,No current rating,80.000000,57.572260,1.518178,1.518178,False,False,,False,35.000000,35.000000,False,62.500000,35.000000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028875,Buttercups Childcare and Early Learning Centre Hammond Park West,BUTTERCUPS CHILDCARE PTY LTD,Centre-Based Care,HAMMOND PARK,WA,6164,115.836880,-32.175852,True,,No current rating,65.000000,19.813384,3.059992,3.059992,False,False,57.500000,True,,,False,,57.500000,Annual,1.000000,Long Day Care,50,Major Cities of Australia,Major Cities,Western Australia,WA,Matched by spatial join,True,,,,,,,,Yes,No,No,No,No,No,No
SE-40028876,Kelly Club OSHC Avenel Primary School,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Centre-Based Care,AVENEL,VIC,3664,145.234877,-36.901515,True,,No current rating,30.000000,16.281973,0.997938,0.997938,False,False,,False,16.666667,16.666667,False,,16.666667,School term,2.000000,OSHC: After School + OSHC: Before School,21,Inner Regional Australia,Regional Australia,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,No,No
SE-40028878,Kelly Club OSHC Warreen Primary School,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Centre-Based Care,TRUGANINA,VIC,3029,144.717087,-37.818282,True,,No current rating,60.000000,6.061868,2.507337,2.507337,False,False,,False,27.500000,27.500000,False,59.166667,27.500000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
SE-40028879,Kelly Club OSHC Wimba Primary School,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Centre-Based Care,TARNEIT,VIC,3029,144.669053,-37.824247,True,,No current rating,60.000000,8.820381,2.414120,2.414120,False,False,,False,27.500000,27.500000,False,60.000000,27.500000,School term,3.000000,OSHC: After School + OSHC: Before School + OSHC: Vacation Care,20,Major Cities of Australia,Major Cities,Victoria,VIC,Matched by spatial join,True,,,,,,,,No,No,No,Yes,Yes,Yes,No
